"Date","Price","Open","High","Low","Vol.","Change %"
"2025/10/27","170,201,168","170,300,000","172,500,496","169,300,112","0.00K","-0.06%"
"2025/10/26","170,300,000","165,800,000","170,992,736","164,270,000","0.00K","2.71%"
"2025/10/25","165,800,000","165,039,280","167,990,000","163,700,080","0.00K","0.46%"
"2025/10/24","165,039,280","162,000,016","166,000,000","162,000,016","0.00K","1.88%"
"2025/10/23","162,000,016","159,000,288","169,749,792","159,000,256","0.00K","1.89%"
"2025/10/22","159,000,288","161,010,048","163,475,808","159,000,256","0.00K","-1.25%"
"2025/10/21","161,010,048","164,361,136","169,749,840","159,000,256","0.00K","-2.04%"
"2025/10/20","164,361,136","161,311,104","165,998,560","159,011,008","0.00K","1.89%"
"2025/10/19","161,311,104","158,996,992","162,620,000","157,305,376","0.00K","1.46%"
"2025/10/18","158,996,992","158,558,080","161,999,760","157,000,000","0.00K","0.28%"
"2025/10/17","158,558,080","159,020,160","169,975,504","153,010,000","0.00K","-0.29%"
"2025/10/16","159,020,160","163,703,712","165,465,936","159,000,992","0.00K","-2.86%"
"2025/10/15","163,703,712","168,995,712","169,758,992","163,703,712","0.00K","-3.13%"
"2025/10/14","168,995,712","171,958,992","171,958,992","163,706,672","0.00K","-1.72%"
"2025/10/13","171,958,992","170,000,880","172,500,000","169,090,272","0.00K","1.15%"
"2025/10/12","170,000,880","163,302,512","172,500,000","162,604,816","0.00K","4.10%"
"2025/10/11","163,302,512","173,829,232","173,829,232","163,000,000","0.00K","-3.37%"
"2025/10/10","169,000,000","179,999,440","180,002,000","168,500,016","0.01K","-6.11%"
"2025/10/09","179,999,440","182,500,080","183,000,000","177,021,104","0.00K","-1.37%"
"2025/10/08","182,500,080","180,149,968","184,507,168","179,180,016","0.00K","1.30%"
"2025/10/07","180,149,968","184,998,640","186,199,152","179,000,000","0.00K","-2.62%"
"2025/10/06","184,998,640","179,901,568","187,900,000","179,000,992","0.00K","2.83%"
"2025/10/05","179,901,568","179,900,992","184,889,968","179,000,000","0.00K","0.00%"
"2025/10/04","179,900,992","180,051,056","181,999,952","178,300,000","0.00K","-0.08%"
"2025/10/03","180,051,056","173,513,088","182,000,000","168,000,192","0.01K","3.77%"
"2025/10/02","173,513,088","171,542,416","174,999,968","169,501,744","0.01K","1.53%"
"2025/10/01","170,900,096","167,230,016","171,543,664","167,156,496","0.01K","2.19%"
"2025/09/30","167,230,016","169,444,688","169,444,688","161,000,000","0.01K","-1.31%"
"2025/09/29","169,444,688","166,367,840","169,874,992","164,700,048","0.00K","1.85%"
"2025/09/28","166,367,840","163,006,000","167,600,000","162,688,208","0.00K","2.06%"
"2025/09/27","163,006,000","162,999,952","164,900,000","162,600,272","0.00K","0.00%"
"2025/09/26","162,999,952","163,999,968","164,999,712","161,170,080","0.00K","-0.61%"
