"Date","Price","Open","High","Low","Vol.","Change %"
"2025/10/27","2,000,502","1,981,614","2,017,279","1,978,586","0.02K","0.95%"
"2025/10/26","1,981,644","1,944,278","1,994,999","1,938,001","0.02K","1.92%"
"2025/10/25","1,944,278","1,932,773","1,948,000","1,926,399","0.01K","0.60%"
"2025/10/24","1,932,773","1,914,513","1,948,837","1,910,047","0.03K","0.95%"
"2025/10/23","1,914,513","1,885,773","1,937,968","1,884,772","0.02K","1.52%"
"2025/10/22","1,885,773","1,899,265","1,911,499","1,865,494","0.05K","-0.76%"
"2025/10/21","1,900,241","1,923,624","1,995,541","1,870,029","0.04K","-1.22%"
"2025/10/20","1,923,624","1,900,943","1,949,345","1,882,303","0.04K","1.19%"
"2025/10/19","1,900,943","1,879,520","1,915,497","1,860,007","0.02K","1.14%"
"2025/10/18","1,879,520","1,864,517","1,887,331","1,864,517","0.02K","0.80%"
"2025/10/17","1,864,517","1,892,282","1,914,914","1,822,122","0.07K","-1.47%"
"2025/10/16","1,892,282","1,938,734","1,957,896","1,868,080","0.05K","-2.33%"
"2025/10/15","1,937,521","1,983,328","1,985,234","1,935,000","0.03K","-2.31%"
"2025/10/14","1,983,328","2,017,450","2,020,177","1,940,485","0.05K","-1.69%"
"2025/10/13","2,017,450","2,027,994","2,043,048","1,994,137","0.04K","-0.52%"
"2025/10/12","2,027,994","2,006,355","2,051,999","1,980,777","0.04K","0.94%"
"2025/10/11","2,009,174","2,030,745","2,099,000","1,983,534","0.07K","-1.06%"
"2025/10/10","2,030,668","2,106,810","2,126,956","1,935,002","0.06K","-3.61%"
"2025/10/09","2,106,810","2,133,186","2,133,186","2,076,705","0.03K","-1.24%"
"2025/10/08","2,133,186","2,109,094","2,147,480","2,105,861","0.02K","1.14%"
"2025/10/07","2,109,094","2,155,736","2,166,996","2,094,999","0.04K","-2.16%"
"2025/10/06","2,155,736","2,136,560","2,178,239","2,131,304","0.04K","0.90%"
"2025/10/05","2,136,560","2,117,914","2,160,000","2,111,833","0.03K","0.88%"
"2025/10/04","2,117,914","2,116,447","2,129,622","2,107,125","0.01K","0.07%"
"2025/10/03","2,116,447","2,088,589","2,143,100","2,072,650","0.03K","1.33%"
"2025/10/02","2,088,589","2,055,989","2,098,079","2,052,758","0.04K","1.59%"
"2025/10/01","2,055,989","1,983,290","2,055,989","1,981,966","0.04K","3.67%"
"2025/09/30","1,983,290","1,991,041","1,996,721","1,961,399","0.03K","-0.39%"
"2025/09/29","1,991,041","1,959,409","1,992,522","1,940,347","0.03K","1.61%"
"2025/09/28","1,959,409","1,915,497","1,962,777","1,914,500","0.01K","2.29%"
"2025/09/27","1,915,497","1,919,926","1,923,238","1,911,665","0.01K","-0.23%"
"2025/09/26","1,919,926","1,918,794","1,929,999","1,860,000","0.04K","0.06%"
"2025/09/25","1,918,794","1,981,866","1,985,059","1,913,950","0.04K","-3.18%"
"2025/09/24","1,981,866","1,951,158","1,994,130","1,939,161","0.02K","1.57%"
"2025/09/23","1,951,158","1,971,850","1,986,835","1,944,444","0.04K","-1.05%"
"2025/09/22","1,971,850","2,013,552","2,015,313","1,959,593","0.05K","-2.07%"
"2025/09/21","2,013,552","2,024,363","2,026,668","2,013,039","0.01K","-0.53%"
"2025/09/20","2,024,363","2,022,700","2,031,358","2,019,724","0.01K","0.08%"
"2025/09/19","2,022,700","2,047,405","2,051,759","2,015,001","0.02K","-1.21%"
"2025/09/18","2,047,405","2,035,075","2,061,111","2,031,998","0.03K","0.64%"
"2025/09/17","2,034,312","2,042,990","2,055,945","1,849,750","0.11K","-0.42%"
"2025/09/16","2,042,990","2,022,043","2,045,000","2,011,778","0.03K","1.04%"
"2025/09/15","2,022,043","2,026,221","2,047,958","2,003,999","0.04K","-0.23%"
"2025/09/14","2,026,683","2,035,071","2,040,328","2,025,550","0.01K","-0.41%"
"2025/09/13","2,035,071","2,036,501","2,040,414","2,025,000","0.01K","-0.07%"
"2025/09/12","2,036,501","2,019,291","2,041,000","2,013,000","0.02K","0.85%"
"2025/09/11","2,019,291","2,008,009","2,022,000","2,000,000","0.03K","0.56%"
"2025/09/10","2,008,009","1,975,377","2,014,180","1,962,766","0.03K","1.65%"
"2025/09/09","1,975,377","1,975,016","1,997,542","1,953,652","0.03K","0.02%"
"2025/09/08","1,975,016","1,967,714","1,993,638","1,963,213","0.02K","0.37%"
"2025/09/07","1,967,714","1,954,229","1,975,531","1,954,229","0.01K","0.69%"
"2025/09/06","1,954,229","1,963,984","1,973,674","1,952,140","0.01K","-0.50%"
"2025/09/05","1,963,984","1,984,258","2,019,998","1,955,817","0.02K","-1.02%"
"2025/09/04","1,984,258","1,991,278","2,000,999","1,961,230","0.02K","-0.35%"
"2025/09/03","1,991,278","1,985,228","2,002,030","1,972,403","0.03K","0.36%"
"2025/09/02","1,984,163","1,942,291","1,988,499","1,935,226","0.03K","2.16%"
"2025/09/01","1,942,291","1,928,335","1,946,870","1,908,361","0.03K","0.72%"
"2025/08/31","1,928,335","1,938,958","1,947,983","1,925,292","0.01K","-0.55%"
"2025/08/30","1,938,958","1,929,129","1,939,828","1,912,060","0.01K","0.51%"
"2025/08/29","1,929,129","2,001,030","2,001,030","1,917,436","0.04K","-3.59%"
"2025/08/28","2,001,030","1,982,383","2,017,759","1,977,575","0.03K","0.94%"
"2025/08/27","1,982,383","1,982,546","2,011,315","1,971,993","0.02K","-0.01%"
"2025/08/26","1,982,546","1,959,637","1,991,986","1,925,000","0.06K","1.17%"
"2025/08/25","1,959,637","1,997,474","2,004,897","1,944,001","0.05K","-1.89%"
"2025/08/24","1,997,474","2,026,948","2,032,245","1,949,767","0.02K","-1.45%"
"2025/08/23","2,026,948","2,050,170","2,052,551","2,017,073","0.01K","-1.13%"
"2025/08/22","2,050,170","2,009,221","2,065,000","1,986,961","0.04K","2.04%"
"2025/08/21","2,009,221","2,036,977","2,045,437","2,002,491","0.02K","-1.36%"
"2025/08/20","2,036,977","2,014,081","2,041,186","2,008,003","0.03K","1.14%"
"2025/08/19","2,014,081","2,069,999","2,080,774","2,012,828","0.04K","-2.70%"
"2025/08/18","2,069,999","2,086,000","2,088,486","2,037,361","0.04K","-0.77%"
"2025/08/17","2,086,000","2,089,616","2,108,180","2,086,000","0.01K","-0.17%"
"2025/08/16","2,089,616","2,095,250","2,101,999","2,085,197","0.02K","-0.27%"
"2025/08/15","2,095,250","2,106,758","2,121,869","2,079,489","0.04K","-0.55%"
"2025/08/14","2,106,758","2,167,470","2,180,000","2,089,000","0.07K","-2.80%"
"2025/08/13","2,167,470","2,125,797","2,172,663","2,102,336","0.05K","1.95%"
"2025/08/12","2,125,991","2,126,618","2,133,037","2,110,900","0.04K","-0.03%"
"2025/08/11","2,126,618","2,089,999","2,174,000","2,080,000","0.06K","1.75%"
"2025/08/10","2,089,999","2,024,999","2,094,592","2,022,291","0.02K","3.21%"
"2025/08/09","2,024,999","2,055,323","2,077,739","2,022,209","0.02K","-1.48%"
"2025/08/08","2,055,323","2,091,652","2,096,597","2,040,000","0.04K","-1.74%"
"2025/08/07","2,091,652","2,063,127","2,099,252","2,047,476","0.02K","1.38%"
"2025/08/06","2,063,127","2,062,000","2,073,443","2,040,909","0.03K","0.05%"
"2025/08/05","2,062,000","2,084,876","2,093,968","2,040,001","0.04K","-1.10%"
"2025/08/04","2,084,876","2,080,000","2,093,923","2,067,865","0.03K","-0.06%"
"2025/08/03","2,086,142","2,060,001","2,105,000","2,051,700","0.02K","1.27%"
"2025/08/02","2,060,001","2,063,309","2,083,601","2,047,356","0.02K","-0.16%"
"2025/08/01","2,063,309","2,129,550","2,138,347","2,053,896","0.06K","-3.11%"
"2025/07/31","2,129,550","2,136,155","2,168,000","2,125,001","0.04K","-0.31%"
"2025/07/30","2,136,155","2,126,388","2,143,131","2,101,777","0.05K","0.46%"
"2025/07/29","2,126,388","2,124,475","2,156,000","2,112,060","0.05K","0.09%"
"2025/07/28","2,124,475","2,135,322","2,139,989","2,115,274","0.04K","-0.51%"
"2025/07/27","2,135,322","2,112,750","2,140,000","2,109,305","0.02K","1.07%"
"2025/07/26","2,112,750","2,106,115","2,117,977","2,099,263","0.02K","0.32%"
"2025/07/25","2,106,115","2,104,599","2,106,633","2,051,008","0.06K","-0.01%"
"2025/07/24","2,106,419","2,102,950","2,123,075","2,078,161","0.04K","0.16%"
"2025/07/23","2,102,950","2,126,450","2,127,068","2,075,100","0.04K","-1.11%"
"2025/07/22","2,126,450","2,084,492","2,129,997","2,066,330","0.04K","2.01%"
"2025/07/21","2,084,492","2,044,337","2,129,886","2,040,000","0.06K","1.96%"
"2025/07/20","2,044,337","1,970,000","2,071,456","1,970,000","0.03K","3.77%"
"2025/07/19","1,970,000","2,107,976","2,121,151","1,658,463","0.10K","-6.55%"
"2025/07/18","2,107,976","2,132,598","2,146,999","2,091,000","0.08K","-1.15%"
"2025/07/17","2,132,598","2,133,102","2,166,003","2,108,895","0.07K","-0.02%"
"2025/07/16","2,133,102","2,112,438","2,149,000","2,102,690","0.07K","0.98%"
"2025/07/15","2,112,438","2,160,434","2,162,622","2,087,287","0.09K","-2.22%"
"2025/07/14","2,160,434","2,140,614","2,210,000","2,140,215","0.08K","0.93%"
"2025/07/13","2,140,614","2,109,663","2,140,614","2,107,000","0.03K","1.47%"
"2025/07/12","2,109,663","2,105,000","2,115,962","2,105,000","0.02K","0.22%"
"2025/07/11","2,105,000","2,032,844","2,125,100","2,022,211","0.12K","3.56%"
"2025/07/10","2,032,543","1,990,755","2,038,028","1,980,560","0.06K","2.10%"
"2025/07/09","1,990,755","1,955,691","1,998,797","1,946,682","0.04K","1.79%"
"2025/07/08","1,955,691","1,945,853","1,958,000","1,936,033","0.03K","0.51%"
"2025/07/07","1,945,853","1,937,935","1,955,515","1,933,006","0.04K","0.41%"
"2025/07/06","1,937,935","1,926,829","1,944,999","1,922,644","0.02K","0.58%"
"2025/07/05","1,926,829","1,923,080","1,935,292","1,917,609","0.01K","0.20%"
"2025/07/04","1,923,077","1,941,142","1,941,500","1,911,228","0.02K","-0.93%"
"2025/07/03","1,941,142","1,927,857","1,945,335","1,923,744","0.05K","0.68%"
"2025/07/02","1,928,000","1,878,047","1,941,253","1,870,416","0.03K","2.66%"
"2025/07/01","1,878,047","1,917,630","1,923,329","1,873,459","0.03K","-2.06%"
"2025/06/30","1,917,630","1,939,773","1,945,000","1,914,177","0.03K","-1.14%"
"2025/06/29","1,939,774","1,927,009","1,944,910","1,925,756","0.02K","0.66%"
"2025/06/28","1,927,009","1,922,223","1,930,000","1,919,072","0.01K","0.25%"
"2025/06/27","1,922,223","1,925,146","1,939,000","1,913,494","0.03K","-0.15%"
"2025/06/26","1,925,146","1,920,380","1,939,499","1,910,859","0.04K","0.25%"
"2025/06/25","1,920,379","1,900,769","1,936,015","1,897,861","0.04K","1.03%"
"2025/06/24","1,900,769","1,898,042","1,902,622","1,875,528","0.04K","0.01%"
"2025/06/23","1,900,656","1,842,016","1,910,095","1,814,257","0.05K","3.18%"
"2025/06/22","1,842,015","1,864,445","1,884,006","1,780,356","0.06K","-1.20%"
"2025/06/21","1,864,445","1,881,892","1,893,522","1,842,612","0.02K","-0.93%"
"2025/06/20","1,881,892","1,905,120","1,934,994","1,863,003","0.03K","-1.31%"
"2025/06/19","1,906,893","1,901,802","1,913,999","1,895,697","0.02K","0.27%"
"2025/06/18","1,901,802","1,901,356","1,913,998","1,879,365","0.03K","0.02%"
"2025/06/17","1,901,356","1,921,378","1,940,657","1,875,521","0.04K","-1.04%"
"2025/06/16","1,921,378","1,913,529","1,957,283","1,907,320","0.03K","0.41%"
"2025/06/15","1,913,529","1,913,994","1,927,499","1,900,000","0.01K","-0.02%"
"2025/06/14","1,913,994","1,919,442","1,923,933","1,893,228","0.01K","-0.28%"
"2025/06/13","1,919,442","1,901,401","1,919,886","1,869,420","0.05K","0.95%"
"2025/06/12","1,901,409","1,945,519","1,947,787","1,901,409","0.03K","-2.28%"
"2025/06/11","1,945,817","1,969,316","1,975,499","1,939,600","0.04K","-1.19%"
"2025/06/10","1,969,316","1,972,891","1,974,980","1,940,978","0.04K","-0.18%"
"2025/06/09","1,972,891","1,902,223","1,976,481","1,889,318","0.04K","3.72%"
"2025/06/08","1,902,223","1,902,187","1,914,999","1,890,709","0.01K","0.00%"
"2025/06/07","1,902,187","1,878,680","1,904,999","1,871,691","0.01K","1.25%"
"2025/06/06","1,878,680","1,829,001","1,899,999","1,823,075","0.04K","2.72%"
"2025/06/05","1,829,001","1,887,881","1,898,864","1,806,129","0.05K","-3.12%"
"2025/06/04","1,887,881","1,905,747","1,914,124","1,880,000","0.02K","-0.94%"
"2025/06/03","1,905,747","1,909,459","1,931,493","1,896,634","0.03K","-0.19%"
"2025/06/02","1,909,459","1,923,114","1,923,114","1,877,501","0.03K","-0.71%"
"2025/06/01","1,923,114","1,904,495","1,924,995","1,895,171","0.01K","0.98%"
"2025/05/31","1,904,498","1,893,021","1,908,262","1,880,203","0.02K","0.61%"
"2025/05/30","1,893,021","1,910,035","1,928,177","1,885,000","0.06K","-0.88%"
"2025/05/29","1,909,902","1,965,406","1,979,497","1,905,004","0.05K","-2.76%"
"2025/05/28","1,964,055","1,981,260","1,984,463","1,950,431","0.04K","-0.87%"
"2025/05/27","1,981,260","1,976,952","2,004,999","1,950,000","0.06K","0.22%"
"2025/05/26","1,976,951","1,966,849","1,997,500","1,962,114","0.04K","0.51%"
"2025/05/25","1,966,849","1,958,440","1,971,500","1,925,080","0.03K","0.43%"
