"Date","Price","Open","High","Low","Vol.","Change %"
"2025/10/27","17.31","17.31","17.32","17.23","400.26K","0.06%"
"2025/10/26","17.30","17.41","17.43","17.29","325.25K","-0.75%"
"2025/10/25","17.43","17.36","17.44","17.34","313.95K","0.40%"
"2025/10/24","17.36","17.40","17.50","17.33","456.91K","-0.17%"
"2025/10/23","17.39","17.55","17.56","17.39","530.20K","-0.86%"
"2025/10/22","17.54","17.49","17.59","17.46","467.32K","0.29%"
"2025/10/21","17.49","17.36","17.56","17.33","464.90K","0.69%"
"2025/10/20","17.37","17.52","17.53","17.36","427.79K","-0.86%"
"2025/10/19","17.52","17.48","17.53","17.42","186.14K","0.17%"
"2025/10/18","17.49","17.51","17.53","17.46","243.44K","-0.11%"
"2025/10/17","17.51","17.48","17.60","17.46","514.37K","0.17%"
"2025/10/16","17.48","17.46","17.49","17.39","439.10K","0.11%"
"2025/10/15","17.46","17.45","17.52","17.35","533.74K","0.11%"
"2025/10/14","17.44","17.47","17.50","17.31","570.98K","-0.11%"
"2025/10/13","17.46","17.45","17.48","17.33","418.04K","0.06%"
"2025/10/12","17.45","17.93","18.00","17.41","764.24K","-2.73%"
"2025/10/11","17.94","17.86","18.25","17.61","777.10K","0.45%"
"2025/10/10","17.86","17.22","17.86","16.95","817.11K","3.72%"
"2025/10/09","17.22","16.77","17.24","16.32","635.81K","2.68%"
"2025/10/08","16.77","17.21","17.28","16.68","491.75K","-2.50%"
"2025/10/07","17.20","17.14","17.21","16.60","626.08K","0.41%"
"2025/10/06","17.13","17.21","17.24","17.11","467.46K","-0.41%"
"2025/10/05","17.20","17.20","17.23","17.03","315.07K","0.00%"
"2025/10/04","17.20","17.09","17.23","16.76","291.56K","0.64%"
"2025/10/03","17.09","17.29","17.33","17.09","419.66K","-1.10%"
"2025/10/02","17.28","17.30","17.35","17.21","377.68K","-0.12%"
"2025/10/01","17.30","17.17","17.37","16.71","565.03K","0.82%"
"2025/09/30","17.16","17.32","17.37","16.00","567.41K","-0.92%"
"2025/09/29","17.32","17.48","17.49","17.24","467.72K","-0.92%"
"2025/09/28","17.48","17.48","17.52","17.45","194.81K","0.00%"
"2025/09/27","17.48","17.48","17.55","17.47","203.03K","0.06%"
"2025/09/26","17.47","17.57","17.63","17.45","589.57K","-0.57%"
"2025/09/25","17.57","17.54","17.62","17.44","433.89K","0.17%"
"2025/09/24","17.54","17.40","17.56","17.39","159.17K","0.80%"
"2025/09/23","17.40","17.48","17.56","17.38","235.69K","-0.51%"
"2025/09/22","17.49","17.44","17.56","17.42","359.22K","0.29%"
"2025/09/21","17.44","17.39","17.44","17.33","91.82K","0.29%"
"2025/09/20","17.39","17.43","17.45","17.21","209.48K","-0.23%"
"2025/09/19","17.43","17.41","17.49","17.38","122.09K","0.11%"
"2025/09/18","17.41","17.52","17.61","17.41","191.83K","-0.63%"
"2025/09/17","17.52","17.52","17.57","17.45","308.12K","0.00%"
"2025/09/16","17.52","17.49","17.57","17.46","371.37K","0.17%"
"2025/09/15","17.49","17.45","17.56","17.43","236.13K","0.23%"
"2025/09/14","17.45","17.57","17.60","17.41","137.62K","-0.57%"
"2025/09/13","17.55","17.40","17.60","17.35","258.55K","0.86%"
"2025/09/12","17.40","17.47","17.49","17.36","198.81K","-0.40%"
