"Date","Price","Open","High","Low","Vol.","Change %"
"2025/10/27","17.2229","17.1991","17.2528","17.1742","","0.08%"
"2025/10/26","17.2089","17.1991","17.2122","17.1846","","-0.32%"
"2025/10/24","17.2645","17.3256","17.3779","17.2122","","-0.40%"
"2025/10/23","17.3337","17.4048","17.4610","17.2863","","-0.40%"
"2025/10/22","17.4036","17.4023","17.4924","17.3395","","0.02%"
"2025/10/21","17.4005","17.2246","17.4677","17.1876","","1.00%"
"2025/10/20","17.2288","17.3821","17.3942","17.2170","","-0.87%"
"2025/10/19","17.3806","17.3671","17.4051","17.3505","","0.07%"
"2025/10/17","17.3681","17.3406","17.4936","17.3062","","0.16%"
"2025/10/16","17.3407","17.3466","17.3732","17.2585","","-0.08%"
"2025/10/15","17.3553","17.3868","17.4095","17.2658","","-0.24%"
"2025/10/14","17.3978","17.3206","17.5067","17.2820","","0.45%"
"2025/10/13","17.3206","17.5006","17.5006","17.2736","","-1.03%"
"2025/10/10","17.5006","17.2229","17.5140","17.1729","","1.65%"
"2025/10/09","17.2172","17.1661","17.2528","17.0617","","0.33%"
"2025/10/08","17.1599","17.2232","17.2775","17.1225","","-0.36%"
"2025/10/07","17.2212","17.1724","17.2501","17.1472","","0.28%"
"2025/10/06","17.1736","17.2525","17.3160","17.1526","","-0.33%"
"2025/10/03","17.2312","17.2972","17.3291","17.2019","","-0.37%"
"2025/10/02","17.2950","17.2345","17.3487","17.1645","","0.36%"
"2025/10/01","17.2337","17.2678","17.2936","17.1244","","-0.19%"
"2025/09/30","17.2668","17.2723","17.3168","17.2161","","-0.03%"
"2025/09/29","17.2722","17.3711","17.3860","17.2501","","-0.38%"
"2025/09/26","17.3384","17.4285","17.4910","17.3249","","-0.52%"
"2025/09/25","17.4286","17.3075","17.4894","17.2872","","0.49%"
"2025/09/24","17.3433","17.2575","17.3669","17.2106","","0.54%"
"2025/09/23","17.2498","17.3312","17.3896","17.2263","","-0.47%"
"2025/09/22","17.3319","17.3484","17.3774","17.2620","","-0.10%"
"2025/09/19","17.3484","17.3497","17.4253","17.3082","","-0.01%"
"2025/09/18","17.3500","17.3800","17.4913","17.3200","","-0.27%"
"2025/09/17","17.3969","17.3415","17.4340","17.2577","","0.32%"
"2025/09/16","17.3417","17.3561","17.4023","17.3152","","-0.09%"
"2025/09/15","17.3572","17.3781","17.4020","17.3102","","-0.19%"
"2025/09/12","17.3903","17.3825","17.4256","17.3425","","0.15%"
"2025/09/11","17.3647","17.4877","17.5677","17.3501","","-0.69%"
"2025/09/10","17.4858","17.5365","17.6030","17.4513","","-0.32%"
"2025/09/09","17.5418","17.4953","17.5628","17.4476","","0.23%"
"2025/09/08","17.5016","17.5698","17.6337","17.4697","","-0.54%"
"2025/09/05","17.5973","17.7843","17.7995","17.5166","","-1.00%"
"2025/09/04","17.7758","17.6630","17.8246","17.6499","","0.61%"
"2025/09/03","17.6682","17.6931","17.7776","17.6027","","-0.14%"
"2025/09/02","17.6925","17.6193","17.7892","17.5853","","0.42%"
"2025/09/01","17.6187","17.6758","17.6818","17.5410","","-0.21%"
"2025/08/29","17.6557","17.7163","17.7869","17.6224","","-0.24%"
"2025/08/28","17.6977","17.6915","17.7275","17.6184","","0.07%"
"2025/08/27","17.6851","17.6245","17.7885","17.6066","","0.34%"
"2025/08/26","17.6246","17.6079","17.6997","17.5710","","0.10%"
"2025/08/25","17.6064","17.4488","17.6398","17.4169","","0.92%"
"2025/08/22","17.4457","17.7206","17.7550","17.4222","","-1.55%"
"2025/08/21","17.7196","17.6656","17.7732","17.6527","","0.29%"
"2025/08/20","17.6686","17.6780","17.7344","17.6416","","-0.05%"
"2025/08/19","17.6780","17.6315","17.7050","17.5757","","0.26%"
"2025/08/18","17.6322","17.6150","17.6760","17.5560","","0.10%"
"2025/08/15","17.6150","17.5922","17.6403","17.5178","","0.13%"
"2025/08/14","17.5930","17.5285","17.6829","17.4773","","0.39%"
"2025/08/13","17.5240","17.5936","17.6188","17.4700","","-0.40%"
"2025/08/12","17.5937","17.7540","17.7767","17.5388","","-0.88%"
"2025/08/11","17.7492","17.7194","17.7991","17.6991","","-0.04%"
"2025/08/08","17.7564","17.7325","17.7647","17.6786","","0.13%"
"2025/08/07","17.7325","17.7626","17.8425","17.6700","","-0.18%"
"2025/08/06","17.7650","17.9613","17.9739","17.7432","","-0.82%"
"2025/08/05","17.9112","17.9264","18.0570","17.8738","","-0.13%"
"2025/08/04","17.9340","18.0516","18.0765","17.9066","","-0.65%"
"2025/08/01","18.0516","18.2144","18.3681","18.0161","","-0.89%"
"2025/07/31","18.2144","17.9960","18.2373","17.9523","","1.22%"
"2025/07/30","17.9951","17.8787","18.0262","17.8342","","0.64%"
"2025/07/29","17.8801","17.8742","18.0029","17.8594","","0.03%"
"2025/07/28","17.8743","17.7501","17.9111","17.7201","","0.64%"
"2025/07/25","17.7613","17.6360","17.8236","17.6055","","0.72%"
"2025/07/24","17.6349","17.5500","17.6664","17.5010","","0.48%"
"2025/07/23","17.5500","17.5510","17.6018","17.4939","","-0.05%"
"2025/07/22","17.5593","17.6227","17.6839","17.5255","","-0.37%"
"2025/07/21","17.6238","17.7037","17.7687","17.5950","","-0.56%"
"2025/07/18","17.7228","17.8347","17.8705","17.6553","","-0.63%"
"2025/07/17","17.8354","17.8145","17.9437","17.7950","","0.12%"
"2025/07/16","17.8139","17.9297","17.9647","17.7684","","-0.68%"
"2025/07/15","17.9366","17.9000","17.9606","17.7498","","0.20%"
"2025/07/14","17.9000","17.9238","17.9698","17.8313","","-0.15%"
"2025/07/11","17.9275","17.7400","17.9776","17.7235","","1.03%"
"2025/07/10","17.7452","17.8300","17.8377","17.7030","","-0.50%"
"2025/07/09","17.8335","17.7986","17.8768","17.7514","","0.22%"
"2025/07/08","17.7951","17.8619","17.8743","17.7179","","-0.36%"
"2025/07/07","17.8597","17.5930","17.8793","17.5882","","1.62%"
"2025/07/04","17.5750","17.5101","17.6452","17.4794","","0.35%"
"2025/07/03","17.5137","17.5726","17.6551","17.4832","","-0.32%"
"2025/07/02","17.5693","17.6037","17.7202","17.5526","","-0.19%"
"2025/07/01","17.6031","17.7375","17.7675","17.5682","","-0.83%"
"2025/06/30","17.7500","17.7932","17.8250","17.6857","","-0.46%"
"2025/06/27","17.8328","17.8537","17.9436","17.7137","","-0.10%"
"2025/06/26","17.8507","17.7625","17.8811","17.5761","","0.55%"
"2025/06/25","17.7537","17.7631","17.8466","17.6819","","-0.08%"
"2025/06/24","17.7679","17.8850","17.8850","17.6606","","-0.57%"
"2025/06/23","17.8695","18.0150","18.1533","17.8535","","-0.81%"
"2025/06/20","18.0150","18.0271","18.1122","17.9501","","-0.07%"
"2025/06/19","18.0284","17.9813","18.1575","17.9813","","0.26%"
"2025/06/18","17.9813","18.0263","18.1484","17.9102","","-0.24%"
"2025/06/17","18.0254","17.8158","18.0430","17.7625","","1.21%"
"2025/06/16","17.8106","17.9313","17.9843","17.7255","","-0.67%"
"2025/06/13","17.9313","17.7932","18.0782","17.7488","","0.70%"
"2025/06/12","17.8063","17.7324","17.9213","17.6776","","0.40%"
